location_id,year_id,mean_value
11,1975,0.325406993
11,1976,0.333477835
11,1977,0.341607697
11,1978,0.349386085
11,1979,0.35772777
11,1980,0.366992398
11,1981,0.376745832
11,1982,0.386072487
11,1983,0.395521221
11,1984,0.4054377
11,1985,0.41505235
11,1986,0.424373503
11,1987,0.433569727
11,1988,0.442479817
11,1989,0.451469176
11,1990,0.460320628
11,1991,0.469123823
11,1992,0.477936079
11,1993,0.486531663
11,1994,0.49489134
11,1995,0.502959466
11,1996,0.510766068
11,1997,0.518495214
11,1998,0.524276901
11,1999,0.529254544
11,2000,0.533621468
11,2001,0.537725082
11,2002,0.542059183
11,2003,0.546551381
11,2004,0.551048584
11,2005,0.555634905
11,2006,0.560499732
11,2007,0.566123393
11,2008,0.572708302
11,2009,0.57958349
11,2010,0.586939615
11,2011,0.594739414
11,2012,0.602307346
11,2013,0.60955942
11,2014,0.616499853
11,2015,0.623064707
11,2016,0.62930931
11,2017,0.635277667
11,2018,0.64100152
11,2019,0.6466219
11,2020,0.651396696
11,2021,0.656080173
11,2022,0.660891998
11,2023,0.665731524
12,1950,0.144134442
12,1951,0.145183756
12,1952,0.146269985
12,1953,0.147443519
12,1954,0.148689017
12,1955,0.150051391
12,1956,0.151526907
12,1957,0.153102251
12,1958,0.154796177
12,1959,0.156601731
12,1960,0.158545138
12,1961,0.160695105
12,1962,0.163006404
12,1963,0.165364184
12,1964,0.167694032
12,1965,0.170129338
12,1966,0.172816962
12,1967,0.175641969
12,1968,0.178602106
12,1969,0.181635249
12,1970,0.184676389
12,1971,0.188042303
12,1972,0.191561834
12,1973,0.195614315
12,1974,0.199820958
12,1975,0.204327839
12,1976,0.20896449
12,1977,0.213175893
12,1978,0.217266429
12,1979,0.221067594
12,1980,0.225695256
12,1981,0.231737672
12,1982,0.237836365
12,1983,0.243708681
12,1984,0.249482964
12,1985,0.255289733
12,1986,0.260928074
12,1987,0.265862664
12,1988,0.270037332
12,1989,0.274531494
12,1990,0.279022936
12,1991,0.283407682
12,1992,0.287833991
12,1993,0.292415179
12,1994,0.297381299
12,1995,0.302616566
12,1996,0.308189899
12,1997,0.314285888
12,1998,0.320816713
12,1999,0.328248445
12,2000,0.336434069
12,2001,0.345696438
12,2002,0.355487481
12,2003,0.365367553
12,2004,0.375032517
12,2005,0.384582176
12,2006,0.394483654
12,2007,0.404468777
12,2008,0.4139362
12,2009,0.423126397
12,2010,0.431761757
12,2011,0.44000962
12,2012,0.447882443
12,2013,0.45548683
12,2014,0.46275395
12,2015,0.469682052
12,2016,0.476403041
12,2017,0.482890683
12,2018,0.489018869
12,2019,0.494969097
12,2020,0.500325255
12,2021,0.505411847
12,2022,0.510298518
12,2023,0.515008269
13,1950,0.225577692
13,1951,0.228051919
13,1952,0.231260992
13,1953,0.234640712
13,1954,0.238475715
13,1955,0.242422184
13,1956,0.246717615
13,1957,0.251724879
13,1958,0.258338574
13,1959,0.267496423
13,1960,0.27742862
13,1961,0.287521947
13,1962,0.299376828
13,1963,0.312416012
13,1964,0.327367051
13,1965,0.344225157
13,1966,0.355589881
13,1967,0.363158377
13,1968,0.373844971
13,1969,0.385224871
13,1970,0.397350016
13,1971,0.406715679
13,1972,0.413207773
13,1973,0.421905331
13,1974,0.431232475
13,1975,0.440248081
13,1976,0.450345647
13,1977,0.460992826
13,1978,0.470492984
13,1979,0.479031928
13,1980,0.487012939
13,1981,0.495384079
13,1982,0.504979191
13,1983,0.513951776
13,1984,0.522402247
13,1985,0.530929386
13,1986,0.539840297
13,1987,0.548379335
13,1988,0.556615785
13,1989,0.563472707
13,1990,0.568850087
13,1991,0.574411369
13,1992,0.580815841
13,1993,0.588912768
13,1994,0.597799274
13,1995,0.606701143
13,1996,0.616198392
13,1997,0.626721414
13,1998,0.63665249
13,1999,0.645847709
13,2000,0.654897981
13,2001,0.663046821
13,2002,0.670078782
13,2003,0.676296343
13,2004,0.682189849
13,2005,0.687714111
13,2006,0.692925839
13,2007,0.697664336
13,2008,0.702313384
13,2009,0.7068684
13,2010,0.711871777
13,2011,0.716779072
13,2012,0.722196746
13,2013,0.727266586
13,2014,0.732166341
13,2015,0.736875672
13,2016,0.741154625
13,2017,0.745784581
13,2018,0.750679343
13,2019,0.755793909
13,2020,0.760095564
13,2021,0.763674987
13,2022,0.767055122
13,2023,0.770371353
14,1950,0.207113742
14,1951,0.209031061
14,1952,0.210909605
14,1953,0.212909474
14,1954,0.215097072
14,1955,0.217401784
14,1956,0.219729527
14,1957,0.222081561
14,1958,0.224269689
14,1959,0.22643642
14,1960,0.228775144
14,1961,0.230941544
14,1962,0.232886064
14,1963,0.234375074
14,1964,0.235455542
14,1965,0.236282318
14,1966,0.236808171
14,1967,0.236929263
14,1968,0.236876425
14,1969,0.236874731
14,1970,0.237370234
14,1971,0.238106125
14,1972,0.239116507
14,1973,0.240324801
14,1974,0.241834107
14,1975,0.242880083
14,1976,0.243822636
14,1977,0.245268059
14,1978,0.247349774
14,1979,0.250163613
14,1980,0.254483247
14,1981,0.259097039
14,1982,0.264287307
14,1983,0.269414445
14,1984,0.275834879
14,1985,0.283501693
14,1986,0.292126515
14,1987,0.301611095
14,1988,0.311742145
